publication,category,language,website,email,phone,fax,address,city,province_state,zip_postal_code,country,subscribe,facebook,twitter,instagram,youtube
Africa Birds & Birding,bird_publications,english,www.africageographic.com/magazine/birds-and-birding/about.asp,,,,,,,,,,,,,
African Bird Club,bird_publications,english,www.africanbirdclub.org,,,,,,,,,,www.africanbirdclub.org,,,
Alula Magazine,bird_publications,finnish,www.alula.fi,,,,,,,,,,,,,
Audobon,bird_publications,english,www.audobonmagazine.org,,,,,,,,,,,,,
Bali Bird Park Magazine,bird_publications,english,www.bali.com/balibird-park/index2.htm,,,,,,,,,,,,,
Beakspeak,bird_publications,english,www.beakspeak.com,,,,,,,,,,,,,
Bird Observer,bird_publications,english,www.birdobserver.org,,,,,,,,,https://www.birdobserver.org/Store/subscriptions,https://www.facebook.com/birdobserverjournal,https://twitter.com/birdobserver,,
Bird On!,bird_publications,english,www.birdcare.com/birdon,,,,,,,,,,,,,
Bird Study,bird_publications,english,www.bto.org,info@bto.org,,,,,,,UK,,https://www.facebook.com/The.BTO,https://twitter.com/_bto,https://www.instagram.com/btobirds/,
Bird Talk,bird_publications,,www.birdchannel.com/bird-magazines/bird-talk/default.aspx,,,,,,,,,,,,,
Bird Watcher's Digest,bird_publications,english,www.birdwatchersdigest.com,bwd@birdwatchersdigest.com,7403735285,7403738443,P.O. Box 110 (FedEx/UPS 149 Acme Street),Marietta,Ohio,45750,USA,www.birdwatchersdigest.com,,,,
Bird Watching,bird_publications,english,www.birdwatching.co.uk,,4401733468000,,"Media House, Peterborough Business Park",Lynch Wood,Peterborough,PE2 6EA,UK,www.birdwatching.co.uk,https://www.facebook.com/birdwatchingmag/,https://twitter.com/BirdWatchingMag,,
Birder's Journal,bird_publications,,www.birdersjournal.com,,,,,,,,,,,,,
Birder's World,bird_publications,english,www.birdersworld.com,CustomerService@BirdWatchingDaily.us,9036361121,,"25 Braintree Hill Office Park, Suite 404",Braintree,Massachusetts,02184,USA,CustomerService@BirdWatchingDaily.us,https://www.facebook.com/BirdWatchingMagazine,https://twitter.com/BirdWatchDaily,https://www.instagram.com/birdwatchingmagazine/,
Birding,bird_publications,english,www.aba.org/,info@aba.org,3028383660,3028383651,"93 Clinton Street, Suite ABA",Delaware City,Delaware,19706,USA,info@aba.org,,,,
Birding World,bird_publications,english,www.birdingworld.co.uk,stevengantlett@btinternet.com,4401263748133,,,,,,UK,,,,,
BIRDNET,bird_publications,english,www.nmnh.si.edu/BIRDNET,ellen.paul@verizon.net,,,,,,,USA,,,,,
Birds & Blooms,bird_publications,english,www.birdsandblooms.com,customercare@birdsandblooms.com,,,P.O. Box 5294,Harlan,Iowa,51593-0794,USA, customercare@birdsandblooms.com,,,,
British Birds,bird_publications,english,www.britishbirds.co.uk,editor@britishbirds.co.uk,4401950460080,,"Spindrift, Eastshore",Virkie,Sheland,ZE3 9JS,UK,www.britishbirds.co.uk/subscribe/,,https://twitter.com/Britishbirds,,
Bulletin of the British Ornithologists' Club,bird_publications,english,www.boc-online.org,info@boc-online.org,4402088764728,4407919174898,Akeman Street,Tring,Herts,HP23 6AP,UK,,https://www.facebook.com/onlineBOC/,https://twitter.com/online_BOC,,
Dutch Birding Magazine,bird_publications,dutch,www.durchbirding.nl,,,,,,,,The Netherlands,,,,,
Neotropical Bird Club,bird_publications,various,www.neotropicalbirdclub.org,,,,,,,,Various,,,,,
Oriental Bird Club,bird_publications,english,www.orientalbirdclub.org,https://www.orientalbirdclub.org/contact,,,P.O. Box 324,Bedford,,MK42 0WG,UK,,https://www.facebook.com/groups/OrientalBirdClub/,https://twitter.com/orientbirdclub,,
Ornithos,bird_publications,french,www.lpo.fr,https://www.lpo.fr/contact/contacter-la-lpo,330546821234,330546839586,"8 rue Pujos,17300 Rochefort",,,90263,France,https://www.lpo.fr/index.php?option=com_content&Itemid=1515&catid=47&id=2836&view=article,https://www.facebook.com/LPO.fr,https://twitter.com/LPOFrance,https://www.instagram.com/lpo_officiel/,
QuebecOiseaux,bird_publications,french,www.quebesoiseaux.org/index.php,,,,,,,,,,,,,
Strix,bird_publications,japanese,www.wbsj.org/shop/strix.html,web@wbsj.org,,,Maruwa Building,Nishigotanda,Shinagawa-ku,141-0031,Japan,,,,,
The NW Bird Watcher Magazine,bird_publications,english,www.thebirdguide.com,,,,,,,,,,,,,
The Virtual Birder,bird_publications,english,www.virtualbirder.com/vbirder,,,,,,,,,,,,,
WildBird,bird_publications,english,www.wildbirdmagazine.com,,,,,,,,,,,,,
World Birdwatch,bird_publications,english,http://www.birdlife.org/,birdlife@birdlife.org,4401223277318,4401223281441,"The David Attenborough Building, Pembroke Street",Cambridge,,CB2 3QZ,UK,,https://www.facebook.com/BirdLifeInternational,https://twitter.com/BirdLife_News,,https://www.youtube.com/user/BirdLifeVideo
4YourPet.net,dog_publications,,www.4yourpet.net,,,,,,,,,,,,,
A Breed Apart,dog_publications,,www.abap.org,,,,,,,,,,,,,
American Gamedog Times,dog_publications,,www.agdt.com,,,,,,,,,,,,,
American Kennel Club,dog_publications,,www.akc.org,,,,,,,,,,,,,
AnimalSites.com,dog_publications,,www.animalsites.com,,,,,,,,,,,,,
Bad Dog Chronicles,dog_publications,,www.baddogs.com/index.cfm,,,,,,,,,,,,,
Bark Magazine,dog_publications,,www.thebark.com,,,,,,,,,,,,,
Bay-Dog Online,dog_publications,,www.baydog.com,,,,,,,,,,,,,
Bird Dog and Retriever News,dog_publications,,www.bird-dog-news.com,,,,,,,,,,,,,
Borzoi Connection,dog_publications,,www.borzoiconnection.com,,,,,,,,,,,,,
Canine Collectables Courier,dog_publications,,http://erinrac.com/collect/courier,,,,,,,,,,,,,
Canine Review Magazine,dog_publications,,www.canine-review.com,,,,,,,,,,,,,
Canis Max Magazine,dog_publications,,www.angelcities.com/members/canismax,,,,,,,,,,,,,
Catahoula Ezine,dog_publications,,www.catahoulaleopard.com/zine.htm,,,,,,,,,,,,,
Chazhound,dog_publications,,www.chazhound.com,,,,,,,,,,,,,
Checkcord,dog_publications,,www.thecheckcord.com,,,,,,,,,,,,,
Classic Sluki Magazine,dog_publications,,www.classicsaluki.com,,,,,,,,,,,,,
Cyberdogs and Cats Magazine,dog_publications,,www.cyberdogsmagazine.com,,,,,,,,,,,,,
CyberPet.com,dog_publications,,www.cyberpet.com,,,,,,,,,,,,,
Doberman Quarterly Magazine,dog_publications,,www.dobemag.com,,,,,,,,,,,,,
Dog & Handler,dog_publications,,www.doghandler.com,,,,,,,,,,,,,
Dog & Kennel,dog_publications,,www.petpublishing.com/dogken,,,,,,,,,,,,,
Dog Fancy Magazine,dog_publications,,www.dogfancy.com,,,,,,,,,,,,,
Dog Lovers Portal,dog_publications,,www.bestdogsite.com,,,,,,,,,,,,,
Dog News,dog_publications,,www.dognews.com,,,,,,,,,,,,,
Dog Nose News,dog_publications,,www.dognosenews.com,,,,,,,,,,,,,
Dog Only Directory,dog_publications,,http://dog.only-sites.com,,,,,,,,,,,,,
Dog Owners' Digest,dog_publications,,www.dogownersdigest.com,,,,,,,,,,,,,
Dog Owner's Guide,dog_publications,,www.canismajor.com/dog,,,,,,,,,,,,,
Dog World Magazine,dog_publications,,www.animalnetwork.com/dogworldmag,,,,,,,,,,,,,
Dog.com,dog_publications,,www.dog.com,,,,,,,,,,,,,
DogDaze,dog_publications,,www.dogdaze.com,,,,,,,,,,,,,
DogFriendly.com,dog_publications,,www.dogfriendly.com,,,,,,,,,,,,,
Doggies in the Windows,dog_publications,,www.dogstuff.com,,,,,,,,,,,,,
dogmark.net,dog_publications,,www.dogmark.net,,,,,,,,,,,,,
Dog-O-Mania,dog_publications,,www.dogomania.com,,,,,,,,,,,,,
Dogs Directory,dog_publications,,www.n-e-x-u-s.com/dogs/index.html,,,,,,,,,,,,,
Dogs in Canada,dog_publications,,www.dogsincanada.com,,,,,,,,,,,,,
Dogs in Review,dog_publications,,www.dogsinreview.com,,,,,,,,,,,,,
Dog's Life Magzine,dog_publications,,www.dogslifemagazine.com,,,,,,,,,,,,,
Dogsport Magazine,dog_publications,,www.dogsportmagazine.com,,,,,,,,,,,,,
Doral Publishings,dog_publications,,www.doralpub.com/doral,,,,,,,,,,,,,
FIDO Friendly Magazine,dog_publications,,www.fidofriendly.com,,,,,,,,,,,,,
Focus on Dogs,dog_publications,,http://dogs.focusonpets.com/default.asp,,,,,,,,,,,,,
German Shorthaired Pointer News,dog_publications,,www.gspnews.com,,,,,,,,,,,,,
Good Dog!,dog_publications,,www.gooddogmagazine.com,,,,,,,,,,,,,
Great Dane Reporter,dog_publications,,www.pe.net/~gdr,,,,,,,,,,,,,
Gun Dog Magazine,dog_publications,,www.gundogmag.com,,,,,,,,,,,,,
Hike! Magazine,dog_publications,,www.digilander.libero.it/southpole/copertinahike0.htm,,,,,,,,,,,,,
Husky Magazine,dog_publications,,www.husky-magazin.de,,,,,,,,,,,,,
I-Love-Dogs,dog_publications,,www.I-love-dogs.com,,,,,,,,,,,,,
Informer,dog_publications,,www.sndd.org/newsletters.shtml,,,,,,,,,,,,,
K-9 Directory,dog_publications,,www.k9directory.co.uk,,,,,,,,,,,,,
K9 Magazine,dog_publications,,www.k9online.com,,,,,,,,,,,,,
K9 Perspective Magazine,dog_publications,,www.k9magazinefree.com,,,,,,,,,,,,,
K9100.com,dog_publications,,www.k9media.net/k9100/index.php,,,,,,,,,,,,,
Modern Dog,dog_publications,,www.moderndogmagazine.com,,,,,,,,,,,,,
Mushing Magazine,dog_publications,,www.mushing.com,,,,,,,,,,,,,
My Pet Business,dog_publications,,www.mypetbusiness.com,,,,,,,,,,,,,
Naples Dog,dog_publications,,www.naplesdog.com,,,,,,,,,,,,,
NetPet Magazine,dog_publications,,www.netpetmagazine.com,,,,,,,,,,,,,
NextDayPets.com,dog_publications,,www.nextdaypets.com,,,,,,,,,,,,,
Online Tugline,dog_publications,,www.cpinternet.com/~sbair/tugline1.html,,,,,,,,,,,,,
PamperedPuppy.com,dog_publications,,www.pamperedpuppy.net,,,,,,,,,,,,,
Pedigree Dogs,dog_publications,,www.pedigreedogs.co.uk,,,,,,,,,,,,,
Pet Business,dog_publications,,www.petbusiness.com,,,,,,,,,,,,,
Pet Tribune,dog_publications,,www.seeq.com,,,,,,,,,,,,,
Pit Bull Reporter Magazine,dog_publications,,www.pbreporter.com,,,,,,,,,,,,,
PlayDog,dog_publications,,www.playdog.com,,,,,,,,,,,,,
